epoch,lr-Adam,step,train_loss_epoch,train_loss_step,val_MAE,val_MAPE,val_RMSE,val_SMAPE,val_loss
,0.003,1299,,,,,,,
2,,1299,,0.018470052629709244,,,,,
,0.003,1309,,,,,,,
2,,1309,,0.012832692824304104,,,,,
,0.003,1319,,,,,,,
2,,1319,,0.015253197401762009,,,,,
,0.003,1329,,,,,,,
2,,1329,,0.023010727018117905,,,,,
,0.003,1339,,,,,,,
2,,1339,,0.016965003684163094,,,,,
,0.003,1349,,,,,,,
2,,1349,,0.021752506494522095,,,,,
,0.003,1359,,,,,,,
2,,1359,,0.013113629072904587,,,,,
,0.003,1369,,,,,,,
2,,1369,,0.02050354890525341,,,,,
,0.003,1379,,,,,,,
2,,1379,,0.01764466054737568,,,,,
,0.003,1389,,,,,,,
2,,1389,,0.01988639496266842,,,,,
,0.003,1399,,,,,,,
2,,1399,,0.017750870436429977,,,,,
,0.003,1409,,,,,,,
2,,1409,,0.014711163006722927,,,,,
,0.003,1419,,,,,,,
2,,1419,,0.01295219175517559,,,,,
,0.003,1429,,,,,,,
2,,1429,,0.019414115697145462,,,,,
,0.003,1439,,,,,,,
2,,1439,,0.01658552512526512,,,,,
,0.003,1449,,,,,,,
2,,1449,,0.013276105746626854,,,,,
,0.003,1459,,,,,,,
2,,1459,,0.021159714087843895,,,,,
,0.003,1469,,,,,,,
2,,1469,,0.01224637869745493,,,,,
,0.003,1479,,,,,,,
2,,1479,,0.013979168608784676,,,,,
,0.003,1489,,,,,,,
2,,1489,,0.01687503047287464,,,,,
,0.003,1499,,,,,,,
2,,1499,,0.017373045906424522,,,,,
,0.003,1509,,,,,,,
2,,1509,,0.019339771941304207,,,,,
,0.003,1519,,,,,,,
2,,1519,,0.02023724652826786,,,,,
,0.003,1529,,,,,,,
2,,1529,,0.019501935690641403,,,,,
,0.003,1539,,,,,,,
2,,1539,,0.013918324373662472,,,,,
,0.003,1549,,,,,,,
2,,1549,,0.020660774782299995,,,,,
,0.003,1559,,,,,,,
2,,1559,,0.016120590269565582,,,,,
,0.003,1569,,,,,,,
2,,1569,,0.015909450128674507,,,,,
,0.003,1579,,,,,,,
2,,1579,,0.01740132085978985,,,,,
,0.003,1589,,,,,,,
2,,1589,,0.013260485604405403,,,,,
,0.003,1599,,,,,,,
2,,1599,,0.011575947515666485,,,,,
,0.003,1609,,,,,,,
2,,1609,,0.016535822302103043,,,,,
,0.003,1619,,,,,,,
2,,1619,,0.019365224987268448,,,,,
,0.003,1629,,,,,,,
2,,1629,,0.013925105333328247,,,,,
,0.003,1639,,,,,,,
2,,1639,,0.01482129655778408,,,,,
,0.003,1649,,,,,,,
2,,1649,,0.01527844276279211,,,,,
,0.003,1659,,,,,,,
2,,1659,,0.012992736883461475,,,,,
,0.003,1669,,,,,,,
2,,1669,,0.02057800441980362,,,,,
,0.003,1679,,,,,,,
2,,1679,,0.01380220241844654,,,,,
2,,1685,,,0.08000539243221283,0.21550343930721283,0.14921191334724426,0.17624592781066895,0.05923342704772949
2,,1685,0.017230845987796783,,,,,,
,0.003,1689,,,,,,,
3,,1689,,0.0130208944901824,,,,,
,0.003,1699,,,,,,,
3,,1699,,0.014855021610856056,,,,,
,0.003,1709,,,,,,,
3,,1709,,0.01798505336046219,,,,,
,0.003,1719,,,,,,,
3,,1719,,0.021200593560934067,,,,,
,0.003,1729,,,,,,,
3,,1729,,0.018827613443136215,,,,,
,0.003,1739,,,,,,,
3,,1739,,0.01574794389307499,,,,,
,0.003,1749,,,,,,,
3,,1749,,0.018138259649276733,,,,,
,0.003,1759,,,,,,,
3,,1759,,0.011524777859449387,,,,,
,0.003,1769,,,,,,,
3,,1769,,0.015756573528051376,,,,,
,0.003,1779,,,,,,,
3,,1779,,0.01966799981892109,,,,,
,0.003,1789,,,,,,,
3,,1789,,0.013501100242137909,,,,,
,0.003,1799,,,,,,,
3,,1799,,0.014538200572133064,,,,,
,0.003,1809,,,,,,,
3,,1809,,0.01849178411066532,,,,,
,0.003,1819,,,,,,,
3,,1819,,0.018919475376605988,,,,,
,0.003,1829,,,,,,,
3,,1829,,0.011782939545810223,,,,,
,0.003,1839,,,,,,,
3,,1839,,0.01712123490869999,,,,,
,0.003,1849,,,,,,,
3,,1849,,0.016610395163297653,,,,,
,0.003,1859,,,,,,,
3,,1859,,0.013905433937907219,,,,,
,0.003,1869,,,,,,,
3,,1869,,0.018532387912273407,,,,,
,0.003,1879,,,,,,,
3,,1879,,0.01760995015501976,,,,,
,0.003,1889,,,,,,,
3,,1889,,0.015257664956152439,,,,,
,0.003,1899,,,,,,,
3,,1899,,0.015975069254636765,,,,,
,0.003,1909,,,,,,,
3,,1909,,0.017436513677239418,,,,,
,0.003,1919,,,,,,,
3,,1919,,0.01892317272722721,,,,,
,0.003,1929,,,,,,,
3,,1929,,0.02043965458869934,,,,,
,0.003,1939,,,,,,,
3,,1939,,0.015813156962394714,,,,,
,0.003,1949,,,,,,,
3,,1949,,0.01676802709698677,,,,,
,0.003,1959,,,,,,,
3,,1959,,0.015327819623053074,,,,,
,0.003,1969,,,,,,,
3,,1969,,0.01363342721015215,,,,,
,0.003,1979,,,,,,,
3,,1979,,0.016313079744577408,,,,,
,0.003,1989,,,,,,,
3,,1989,,0.016189077869057655,,,,,
,0.003,1999,,,,,,,
3,,1999,,0.016019564121961594,,,,,
,0.003,2009,,,,,,,
3,,2009,,0.017526786774396896,,,,,
,0.003,2019,,,,,,,
3,,2019,,0.01303895004093647,,,,,
,0.003,2029,,,,,,,
3,,2029,,0.01626959815621376,,,,,
,0.003,2039,,,,,,,
3,,2039,,0.014634051360189915,,,,,
,0.003,2049,,,,,,,
3,,2049,,0.014738854952156544,,,,,
,0.003,2059,,,,,,,
3,,2059,,0.01659904420375824,,,,,
,0.003,2069,,,,,,,
3,,2069,,0.016354436054825783,,,,,
,0.003,2079,,,,,,,
3,,2079,,0.016500800848007202,,,,,
,0.003,2089,,,,,,,
3,,2089,,0.01909424364566803,,,,,
,0.003,2099,,,,,,,
3,,2099,,0.020316479727625847,,,,,
,0.003,2109,,,,,,,
3,,2109,,0.017038395628333092,,,,,
,0.003,2119,,,,,,,
3,,2119,,0.016433289274573326,,,,,
,0.003,2129,,,,,,,
3,,2129,,0.020623020827770233,,,,,
,0.003,2139,,,,,,,
3,,2139,,0.01672634854912758,,,,,
,0.003,2149,,,,,,,
3,,2149,,0.01738808862864971,,,,,
,0.003,2159,,,,,,,
3,,2159,,0.01585281267762184,,,,,
,0.003,2169,,,,,,,
3,,2169,,0.01400032639503479,,,,,
,0.003,2179,,,,,,,
3,,2179,,0.015433132648468018,,,,,
,0.003,2189,,,,,,,
3,,2189,,0.015611480921506882,,,,,
,0.003,2199,,,,,,,
3,,2199,,0.013784070499241352,,,,,
,0.003,2209,,,,,,,
3,,2209,,0.014660669490695,,,,,
,0.003,2219,,,,,,,
3,,2219,,0.023629968985915184,,,,,
,0.003,2229,,,,,,,
3,,2229,,0.015380226075649261,,,,,
,0.003,2239,,,,,,,
3,,2239,,0.01509980671107769,,,,,
3,,2247,,,0.07752863317728043,0.1970384567975998,0.14494521915912628,0.17362092435359955,0.05708972364664078
3,,2247,0.01608264073729515,,,,,,
,0.003,2249,,,,,,,
4,,2249,,0.021428178995847702,,,,,
,0.003,2259,,,,,,,
4,,2259,,0.015145267359912395,,,,,
,0.003,2269,,,,,,,
4,,2269,,0.014557372778654099,,,,,
,0.003,2279,,,,,,,
4,,2279,,0.013483989983797073,,,,,
,0.003,2289,,,,,,,
4,,2289,,0.013475371524691582,,,,,
,0.003,2299,,,,,,,
4,,2299,,0.01678728684782982,,,,,
,0.003,2309,,,,,,,
4,,2309,,0.010772504843771458,,,,,
,0.003,2319,,,,,,,
4,,2319,,0.01977156102657318,,,,,
,0.003,2329,,,,,,,
4,,2329,,0.01997341774404049,,,,,
,0.003,2339,,,,,,,
4,,2339,,0.023234054446220398,,,,,
,0.003,2349,,,,,,,
4,,2349,,0.015513739548623562,,,,,
,0.003,2359,,,,,,,
4,,2359,,0.017347775399684906,,,,,
,0.003,2369,,,,,,,
4,,2369,,0.01272646989673376,,,,,
,0.003,2379,,,,,,,
4,,2379,,0.01602572202682495,,,,,
,0.003,2389,,,,,,,
4,,2389,,0.012132140807807446,,,,,
,0.003,2399,,,,,,,
4,,2399,,0.015281690284609795,,,,,
,0.003,2409,,,,,,,
4,,2409,,0.016204122453927994,,,,,
,0.003,2419,,,,,,,
4,,2419,,0.021490046754479408,,,,,
,0.003,2429,,,,,,,
4,,2429,,0.01792753115296364,,,,,
,0.003,2439,,,,,,,
4,,2439,,0.014627641066908836,,,,,
,0.003,2449,,,,,,,
4,,2449,,0.013456789776682854,,,,,
,0.003,2459,,,,,,,
4,,2459,,0.01339052151888609,,,,,
,0.003,2469,,,,,,,
4,,2469,,0.015153036452829838,,,,,
,0.003,2479,,,,,,,
4,,2479,,0.014634061604738235,,,,,
,0.003,2489,,,,,,,
4,,2489,,0.012452846392989159,,,,,
,0.003,2499,,,,,,,
4,,2499,,0.01955294981598854,,,,,
,0.003,2509,,,,,,,
4,,2509,,0.01714865118265152,,,,,
,0.003,2519,,,,,,,
4,,2519,,0.014878083020448685,,,,,
,0.003,2529,,,,,,,
4,,2529,,0.016334811225533485,,,,,
,0.003,2539,,,,,,,
4,,2539,,0.014817249029874802,,,,,
,0.003,2549,,,,,,,
4,,2549,,0.013192273676395416,,,,,
,0.003,2559,,,,,,,
4,,2559,,0.013868672773241997,,,,,
,0.003,2569,,,,,,,
4,,2569,,0.011986369267106056,,,,,
,0.003,2579,,,,,,,
4,,2579,,0.01496073417365551,,,,,
,0.003,2589,,,,,,,
4,,2589,,0.01733703352510929,,,,,
,0.003,2599,,,,,,,
4,,2599,,0.011564907617866993,,,,,
,0.003,2609,,,,,,,
4,,2609,,0.011718081310391426,,,,,
,0.003,2619,,,,,,,
4,,2619,,0.012032546103000641,,,,,
,0.003,2629,,,,,,,
4,,2629,,0.012565908953547478,,,,,
,0.003,2639,,,,,,,
4,,2639,,0.016375398263335228,,,,,
,0.003,2649,,,,,,,
4,,2649,,0.015655262395739555,,,,,
,0.003,2659,,,,,,,
4,,2659,,0.01151925977319479,,,,,
,0.003,2669,,,,,,,
4,,2669,,0.02228299342095852,,,,,
,0.003,2679,,,,,,,
4,,2679,,0.013398776762187481,,,,,
,0.003,2689,,,,,,,
4,,2689,,0.016023989766836166,,,,,
,0.003,2699,,,,,,,
4,,2699,,0.01567949913442135,,,,,
,0.003,2709,,,,,,,
4,,2709,,0.013098131865262985,,,,,
,0.003,2719,,,,,,,
4,,2719,,0.014223277568817139,,,,,
,0.003,2729,,,,,,,
4,,2729,,0.01700224168598652,,,,,
,0.003,2739,,,,,,,
4,,2739,,0.015268065966665745,,,,,
,0.003,2749,,,,,,,
4,,2749,,0.013870131224393845,,,,,
,0.003,2759,,,,,,,
4,,2759,,0.012101886793971062,,,,,
,0.003,2769,,,,,,,
4,,2769,,0.014356613159179688,,,,,
,0.003,2779,,,,,,,
4,,2779,,0.01513415016233921,,,,,
,0.003,2789,,,,,,,
4,,2789,,0.02328726463019848,,,,,
,0.003,2799,,,,,,,
4,,2799,,0.021032482385635376,,,,,
,0.003,2809,,,,,,,
4,,2809,,0.014298878610134125,,,,,
4,,2809,,,0.07841379940509796,0.20290963351726532,0.14105422794818878,0.16924436390399933,0.056006744503974915
4,,2809,0.015172946266829967,,,,,,
,0.003,2819,,,,,,,
5,,2819,,0.016568293794989586,,,,,
,0.003,2829,,,,,,,
5,,2829,,0.012796591967344284,,,,,
,0.003,2839,,,,,,,
5,,2839,,0.01302274502813816,,,,,
,0.003,2849,,,,,,,
5,,2849,,0.012631240300834179,,,,,
,0.003,2859,,,,,,,
5,,2859,,0.016058940440416336,,,,,
,0.003,2869,,,,,,,
5,,2869,,0.01567760482430458,,,,,
,0.003,2879,,,,,,,
5,,2879,,0.015815088525414467,,,,,
,0.003,2889,,,,,,,
5,,2889,,0.017782364040613174,,,,,
,0.003,2899,,,,,,,
5,,2899,,0.015279281884431839,,,,,
,0.003,2909,,,,,,,
5,,2909,,0.01178373210132122,,,,,
,0.003,2919,,,,,,,
5,,2919,,0.018175987526774406,,,,,
,0.003,2929,,,,,,,
5,,2929,,0.017332276329398155,,,,,
,0.003,2939,,,,,,,
5,,2939,,0.012058984488248825,,,,,
,0.003,2949,,,,,,,
5,,2949,,0.01503096055239439,,,,,
,0.003,2959,,,,,,,
5,,2959,,0.013888898305594921,,,,,
,0.003,2969,,,,,,,
5,,2969,,0.01737283729016781,,,,,
,0.003,2979,,,,,,,
5,,2979,,0.014701656065881252,,,,,
,0.003,2989,,,,,,,
5,,2989,,0.01630479469895363,,,,,
,0.003,2999,,,,,,,
5,,2999,,0.014705981127917767,,,,,
,0.003,3009,,,,,,,
5,,3009,,0.011930159293115139,,,,,
,0.003,3019,,,,,,,
5,,3019,,0.016471274197101593,,,,,
,0.003,3029,,,,,,,
5,,3029,,0.01214146614074707,,,,,
,0.003,3039,,,,,,,
5,,3039,,0.014022160321474075,,,,,
,0.003,3049,,,,,,,
5,,3049,,0.01322014257311821,,,,,
,0.003,3059,,,,,,,
5,,3059,,0.015577679499983788,,,,,
,0.003,3069,,,,,,,
5,,3069,,0.013807302340865135,,,,,
,0.003,3079,,,,,,,
5,,3079,,0.013750379905104637,,,,,
,0.003,3089,,,,,,,
5,,3089,,0.017105355858802795,,,,,
,0.003,3099,,,,,,,
5,,3099,,0.01680256426334381,,,,,
,0.003,3109,,,,,,,
5,,3109,,0.010502239689230919,,,,,
,0.003,3119,,,,,,,
5,,3119,,0.015718979761004448,,,,,
,0.003,3129,,,,,,,
5,,3129,,0.015045610256493092,,,,,
,0.003,3139,,,,,,,
5,,3139,,0.012067198753356934,,,,,
,0.003,3149,,,,,,,
5,,3149,,0.011634649708867073,,,,,
,0.003,3159,,,,,,,
5,,3159,,0.012283270247280598,,,,,
,0.003,3169,,,,,,,
5,,3169,,0.016072234138846397,,,,,
,0.003,3179,,,,,,,
5,,3179,,0.019542070105671883,,,,,
,0.003,3189,,,,,,,
